item_id,tf_code,business_line,category_name,item_title,item_description,level_1,level_2,reason
871294,23z9zp,,خشکبار,خرما پیارم درجه یک یک کیلوگرم,±50 گرم,رمضان,خرما,خرما پیارم.
682630,24744p,,خشکبار,خرما جنوب درجه یک 500 گرم, ,رمضان,خرما,خرما جنوب.
1097852,21okl7,,خشکبار,حبه عناب و خرما (200 گرم),ارائه در بسته بندی بهداشتی,رمضان,خرما,contains dates as a primary component (حبه خرما)
1097901,21okl7,,محصولات رژیمی,حلوا ارده بدون قند کامور (170 گرم),رژیمی,UNKNOWN,UNKNOWN,"halva ardeh is a sesame spread, not the flour-based Iftar dessert 'Halva' described"
1097869,21okl7,,خشکبار,خرما آلویی 500 گرم,± 50 گرم، خرما درجه یک جنوب,رمضان,خرما,matches types of dates (خرما آلویی)
1098489,21okl7,,خشکبار,خرما خاصویی شهددار (یک کیلوگرم),± 50 گرم,رمضان,خرما,matches types of dates (خرما خاصویی)
1097825,21okl7,,خشکبار,خرما خاصویی یک کیلوگرم,± 50 گرم، ارائه در بسته بندی بهداشتی,رمضان,خرما,matches types of dates (خرما خاصویی)
1098471,21okl7,,خشکبار,خرما رطب مضافتی بم (650 گرم) خرما رطب مضافتی بم 650 گرمی,± 50 گرم,رمضان,خرما,matches types of dates (رطب مضافتی)
1097824,21okl7,,خشکبار,خرما زاهدی یک کیلوگرم,± 50 گرم، ارائه در بسته بندی بهداشتی,رمضان,خرما,matches types of dates (خرما زاهدی)
1098096,21okl7,,شکلات و آبنبات,خرما شکلاتی با مغز بادام 250 گرم,± 50 گرم,رمضان,خرما,stuffed/chocolate dates where date is the main product
1098063,21okl7,,شکلات و آبنبات,خرما شکلاتی تلخ با مغز بادام 250 گرم,± 50 گرم,رمضان,خرما,stuffed/chocolate dates where date is the main product
1098102,21okl7,,شکلات و آبنبات,خرما شکلاتی نسکافه با مغز بادام 250 گرم,± 50 گرم,رمضان,خرما,stuffed/chocolate dates where date is the main product
1097878,21okl7,,خشکبار,خرما مجول 250 گرم,± 50 گرم,رمضان,خرما,matches types of dates (خرما مجول)
1098422,21okl7,,خشکبار,خرما پیارم آرکا (500 گرم),± 50 گرم,رمضان,خرما,matches types of dates (خرما پیارم)
1097868,21okl7,,خشکبار,خرما پیارم طلایی 500 گرم,± 50 گرم، خرما درجه یک جنوب,رمضان,خرما,matches types of dates (خرما پیارم)
1097823,21okl7,,خشکبار,خرما پیارم یک کیلوگرم,± 50 گرم، ارائه در بسته بندی بهداشتی,رمضان,خرما,matches types of dates (خرما پیارم)
1098619,21okl7,,ارده و شیره,شیره خرما سنتی یک کیلوگرم,± 50 گرم,UNKNOWN,UNKNOWN,date syrup (شیره) is not the date fruit itself as defined in taxonomy
379807,21ypz4,,خشکبار,خرما آلویی درجه یک یک کیلوگرم,,رمضان,خرما,matches types of dates (خرما آلویی)
379806,21ypz4,,خشکبار,خرما زاهدی درجه یک یک کیلوگرم,,رمضان,خرما,matches types of dates (خرما زاهدی)
620610,23341g,,خشکبار,خرما خاصویی یک کیلوگرم,,رمضان,خرما,matches types of dates (خرما خاصویی)
620609,23341g,,خشکبار,خرما زاهدی یک کیلوگرم,,رمضان,خرما,matches types of dates (خرما زاهدی)
620608,23341g,,خشکبار,خرما پیارم یک کیلوگرم,,رمضان,خرما,matches types of dates (خرما پیارم)
689497,2479x3,,خشکبار,خرما زاهدی یک کیلوگرم,درجه یک، امساله,رمضان,خرما,نوعی خرمای خشک (زاهدی)
689481,2479x3,,خشکبار,خرما پیارم یک کیلوگرم,درشت و درجه یک,رمضان,خرما,نوعی خرما (پیارم)
1301956,24xg71,,خرما,خرما خاصویی سطلی (900 گرم),,رمضان,خرما,نوعی خرما (خاصویی)
1301953,24xg71,,خرما,خرما خاصویی ویژه 250 گرم,± 50 گرم,رمضان,خرما,نوعی خرما (خاصویی)
1301951,24xg71,,خرما,خرما شکلاتی مغز دار مخلوط 250 گرم,± 50 گرم,رمضان,خرما,خرمای مغزدار (محصول اصلی خرما است)
1301948,24xg71,,خرما,خرما پیارم سطلی (550 گرم),,رمضان,خرما,نوعی خرما (پیارم)
1301954,24xg71,,خرما,خرما پیارم یک کیلوگرم,± 50 گرم,رمضان,خرما,نوعی خرما (پیارم)
1301958,24xg71,,خرما,خرما کبکاب (1.9 تا 2 کیلوگرم),,رمضان,خرما,نوعی خرما (کبکاب)
1301949,24xg71,,خرما,خرما کبکاب درجه یک (900 گرم تا 1.1 کیلوگرم),,رمضان,خرما,نوعی خرما (کبکاب)
1301952,24xg71,,خرما,خرما کبکاب صادراتی (دو کیلوگرم),± 50 گرم,رمضان,خرما,نوعی خرما (کبکاب)
743305,26678z,,خشکبار,خرما زاهدی یک کیلوگرم, ,رمضان,خرما,نوعی خرما (زاهدی)
743304,26678z,,خشکبار,خرما پیارم یک کیلوگرم, ,رمضان,خرما,نوعی خرما (پیارم)
801411,26r444,,خشکبار,خرما زاهدی ۲۵۰ گرم, ,رمضان,خرما,نوعی خرما (زاهدی)
801410,26r444,,خشکبار,خرما پیارم ۲۵۰ گرم,اعلا,رمضان,خرما,نوعی خرما (پیارم)
1429886,26w11z,,حلوا و خرما,خرما پیارم ویژه 500 گرم,"
± 50 گرم",رمضان,خرما,نوعی خرما (پیارم)
78332,26yx45,,سایر,شیره خرما,,UNKNOWN,UNKNOWN,شیره خرما در طبقه‌بندی خرما (انواع میوه خرما) قرار نمی‌گیرد
1017091,294r46,,خشکبار,خرما خاصویی 250 گرم, ,رمضان,خرما,Direct match for Khasoei dates.
1017092,294r46,,خشکبار,خرما زاهدی 500 گرم,±۵۰ گرم,رمضان,خرما,Direct match for Zahedi dates.
1017109,294r46,,خرما,خرما مغز دار شکلاتی تلخ سام شهد 250 گرم,±۵۰ گرم,رمضان,خرما,Stuffed and chocolate-coated date matches the taxonomy explanation.
1017111,294r46,,خرما,خرما مغز دار شکلاتی سام شهد 250 گرم,"±۵۰ گرم
",رمضان,خرما,Stuffed and chocolate-coated date matches the taxonomy explanation.
1017110,294r46,,خرما,چیپس خرما 250 گرم,±۵۰ گرم,رمضان,خرما,Date chips are a form of dried date product.
1381841,29pg9l,,خشکبار,خرما خاصویی 500 گرم, ±۵۰ گرم,رمضان,خرما,Direct match for Khasoei dates.
1381840,29pg9l,,خشکبار,خرما زاهدی 500 گرم, ±۵۰ گرم,رمضان,خرما,Direct match for Zahedi dates.
1381842,29pg9l,,خشکبار,خرما پیارم اعلا 500 گرم, ±۵۰ گرم,رمضان,خرما,Direct match for Piarom dates.
1306318,2gonk9,,حلوا و خرما,حلوا ارده شابلی یزد (450 گرم), ,رمضان,حلوا,[2PASS] این محصول حلوا ارده است که با توجه به عنوان و دسته‌بندی محصول، در دسته «حلوا» قرار می‌گیرد.
1306319,2gonk9,,حلوا و خرما,حلوا زنجبیلی تبریز گردویی (600 گرم),"25 عدد، مناسب برای 25 نفر، آرد، زنجبیل، گردو 
پخت شیرینی سنتی رضا قزوین",رمضان,حلوا,Ginger halva is a traditional pressed/molded halva matching the description.
1306317,2gonk9,,حلوا و خرما,خرما زاهدی (500 گرم), ± 50 گرم,رمضان,خرما,Direct match for Zahedi dates.
1306322,2gonk9,,حلوا و خرما,خرما پیارم یک کیلوگرم,± 50 گرم,رمضان,خرما,Direct match for Piarom dates.
1372636,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما آلو (215 گرم),ترکیبات: خمیر خرما کبکاب، آلو درجه یک، ۱۰۰ درصد طبیعی، فاقد موادنگهدارنده و افزودنی,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372631,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما دارچین (215 گرم),ترکیبات: خمیر خرما کبکاب با پودر دارچین، خواص: ضدالتهاب قوی، بهبود بیماری های عصبی، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372637,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما ساده (215 گرم),ترکیبات: خمیر خرما کبکاب: خواص: کاهش نفخ و انرژی زا، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372633,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما هل (215 گرم),ترکیبات: خمیر خرما کبکاب، هل، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372635,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما کنجد (215 گرم),ترکیبات: خمیر خرما، کنجد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372630,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما گردو یک بسته (۲۱۵گرمی),ترکیبات: خمیر خرما کبکاب درجه یک، گردو درجه یک، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده، در دمای یخچال، به دور از نور خورشید نگهداری شود.,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1372632,2gozpy,,حبه میوه‌های متنوع، سالم و خوشمزه,حبه خرما گل محمدی 215 گرم,ترکیبات: خمیر خرما کبکاب با کنجد، خواص: مقابله با عفونت ها، تسکین اضطراب و درد، ۱۰۰ درصد طبیعی، فاقد و موادنگهدارنده,رمضان,خرما,ماهیت اصلی محصول خرما (خمیر خرما) است.
1480241,2gozpy,,زولبیا بامیه,زولبیا رژیمی پنج کیلوگرم, ±۵۰ گرم,رمضان,زولبیا,عنوان فقط شامل زولبیا است و ترکیبی نیست.
1480238,2gozpy,,زولبیا بامیه,زولبیا و بامیه بلند پنج کیلوگرم, ±۵۰ گرم,رمضان,زولبیا و بامیه,عنوان صریحاً ترکیبی از زولبیا و بامیه است.
1480239,2gozpy,,زولبیا بامیه,زولبیا و بامیه رژیمی پنج کیلوگرم, ±۵۰ گرم,رمضان,زولبیا و بامیه,عنوان صریحاً ترکیبی از زولبیا و بامیه است.
1480237,2gozpy,,زولبیا بامیه,زولبیا و بامیه ریز پنج کیلوگرم, ±۵۰ گرم,رمضان,زولبیا و بامیه,عنوان صریحاً ترکیبی از زولبیا و بامیه است.
1480240,2gozpy,,زولبیا بامیه,زولبیا پنج کیلوگرم, ±۵۰ گرم، زولبیا، شهد، مناسب مراسم مذهبی و پذیرایی همراه چای,رمضان,زولبیا,عنوان فقط شامل زولبیا است و ترکیبی نیست.
1480242,2gozpy,,زولبیا بامیه,گوشفیل پنج کیلوگرم, ±۵۰ گرم، گوشفیل با شهد گلاب، مناسب مراسم مذهبی و پذیرایی همراه چای,رمضان,گوشفیل,محصول گوشفیل است.
412985,2k3rl8,,خشکبار,خرما,500 گرم,رمضان,خرما,محصول خرما است.
413004,2k3rl8,,خشکبار,خرما زاهدی یک کیلوگرم,,رمضان,خرما,نوعی خرما (زاهدی) است.
898621,2ll48k,,خرما,خرما آلویی یک کیلوگرم,یک کیلوگرم,رمضان,خرما,نوعی خرما (آلویی) است.
898620,2ll48k,,خرما,خرما خاصویی (یک کیلوگرم)	, ,رمضان,خرما,نوعی خرما (خاصویی) است.
898619,2ll48k,,خرما,خرما زاهدی یک کیلوگرم,یک کیلوگرم,رمضان,خرما,نوعی خرما (زاهدی) است.
898623,2ll48k,,خرما,خرما کبکاب (یک کیلوگرم)	, ,رمضان,خرما,نوعی خرما (کبکاب) است.
989797,21km1z,,حلوا و ارده,حلوا ارده 500 گرم,± 50 گرم,UNKNOWN,UNKNOWN,"Halva Ardeh is a sesame-based breakfast spread, not the flour-based Ramadan dessert halva."
989798,21km1z,,حلوا و ارده,حلوا کشی 500 گرم,± 50 گرم,UNKNOWN,UNKNOWN,"Halva Keshi is a regional confectionery sweet, not the soft Ramadan dessert halva described."
989779,21km1z,,خرما,خرما خارک برحی 500 گرم,± 50 گرم,رمضان,خرما,Kharak is a type/stage of date.
989793,21km1z,,خرما,خرما رطب تازه 500 گرم,± 50 گرم,رمضان,خرما,"Rotab is a stage of date ripening, explicitly mentioned in taxonomy."
989780,21km1z,,خرما,خرما  قصب تازه فراشبند 500 گرم,± 50 گرم,رمضان,خرما,Ghasab is a type of date.
989789,21km1z,,خرما,خرما کبکاب دو کیلوگرم,± 50 گرم,رمضان,خرما,"Kabkab is a type of date, explicitly mentioned in taxonomy."
1300688,21l1ww,,شکلات,ترافل خرما با مغز ارده 250 گرم,± 50 گرم,رمضان,خرما,Date truffle is a date-based product; fits the 'filled/stuffed date' description.
1300613,21l1ww,,خشکبار,خرما خاصویی یک کیلوگرم,± 50 گرم,رمضان,خرما,Khasui is a type of date.
1300614,21l1ww,,خشکبار,خرما زاهدی یک کیلوگرم,± 50 گرم,رمضان,خرما,Zahedi is a type of date.
1300700,21l1ww,,شکلات,خرما شکلاتی با مغز بادام 250 گرم,± 50 گرم,رمضان,خرما,Chocolate-covered date with almond fits the 'filled/stuffed date' description.
1300616,21l1ww,,خشکبار,خرما پیارم اعلا یک کیلوگرم,± 50 گرم,رمضان,خرما,"Piarom is a type of date, explicitly mentioned in taxonomy."
1300615,21l1ww,,خشکبار,خرما پیارم یک کیلوگرم,± 50 گرم,رمضان,خرما,"Piarom is a type of date, explicitly mentioned in taxonomy."
1307815,2lxprp,,خشکبار,حلوا شکری زعفرانی شکر ریز (500 گرم),,رمضان,حلوا,انواع حلوا (شکری/زعفرانی) در این دسته قرار می‌گیرند.
1307819,2lxprp,,خشکبار,حلوا شکری ساده شکر ریز (500 گرم),,رمضان,حلوا,انواع حلوا (شکری) در این دسته قرار می‌گیرند.
1480089,2lxprp,,خشکبار,خرما خاصویی متوسط ۵۰۰ گرم,±50 گرم,رمضان,خرما,خرما خاصویی از انواع خرما است.
1278847,2lxprp,,خشکبار,خرما زاهدی اعلا 500 گرم,± 50 گرم,رمضان,خرما,خرما زاهدی از انواع خرما است.
1174118,2lzk7o,,سایر محصولات,حلوا ارده تنتنانی (500 گرم),± 50 گرم,رمضان,حلوا,حلوا ارده در دسته حلوا طبقه‌بندی می‌شود.
1174119,2lzk7o,,سایر محصولات,حلوا ارده تنتنانی (800 گرم),± 50 گرم,رمضان,حلوا,حلوا ارده در دسته حلوا طبقه‌بندی می‌شود.
1174212,2lzk7o,,خشکبار,خرما خاصویی ممتاز 500 گرم,± 50 گرم,رمضان,خرما,خرما خاصویی از انواع خرما است.
1174210,2lzk7o,,خشکبار,خرما زاهدی 250 گرم,± 50 گرم,رمضان,خرما,خرما زاهدی از انواع خرما است.
1174211,2lzk7o,,خشکبار,خرما پیارُم 500 گرم,± 50 گرم,رمضان,خرما,خرما پیارم از انواع خرما است.
559845,2lzpgm,,خشکبار,خرما پیارم اعلا 250 گرم,درشت، محصول سال برداشتی امسال,رمضان,خرما,خرما پیارم از انواع خرما است.
724832,2mm171,,سوغات,حلوا مسقطي لاري 500 گرم,500 گرم,رمضان,حلوا,حلوا مسقطی با توجه به ماهیت محصول در دسته حلوا قرار می‌گیرد.
724742,2mm171,,خشکبار,خرما صادراتی خشت دو کیلوگرم,دو کیلوگرم,رمضان,خرما,محصول خرما است.
724751,2mm171,,خشکبار,خرما صادراتي رضایی یک کیلوگرم,یک کیلوگرم,رمضان,خرما,محصول خرما است.
763503,2mm171,,خشکبار,خرما قصب صادراتی ۵۰۰ گرم‌,,رمضان,خرما,خرما قصب از انواع خرما است.
724745,2mm171,,خشکبار,خرما ميثم صادراتی یک کیلوگرم,یک کیلوگرم,رمضان,خرما,محصول خرما است.
663710,2mmx3k,,خشکبار,خرما زاهدی یک کیلوگرم,,رمضان,خرما,خرما زاهدی از انواع خرما است.
1260708,2o9po7,,خرما,خرما دشتستان (1.200 کیلوگرم),± ۵۰ گرم,رمضان,خرما,انواع خرمای مضافتی/دشتستان
1260709,2o9po7,,خرما,خرما زاهدی یک کیلوگرم,± ۵۰ گرم,رمضان,خرما,انواع خرمای زاهدی
1260710,2o9po7,,خرما,خرما پیارم 500 گرم,± ۵۰ گرم,رمضان,خرما,انواع خرمای پیارم
1399352,2o9r31,,خشکبار,خرما خاصویی 500 گرم,± 50 گرم,رمضان,خرما,انواع خرمای خاصویی
1399351,2o9r31,,خشکبار,خرما زاهدی 500 گرم,± 50 گرم,رمضان,خرما,انواع خرمای زاهدی
1399350,2o9r31,,خشکبار,خرما پیارم درجه یک یک کیلوگرم,± 50 گرم,رمضان,خرما,انواع خرمای پیارم
1399353,2o9r31,,خشکبار,چیپس خرما ۵۰۰ گرم,± 50 گرم,رمضان,خرما,انواع خرمای خشک/چیپس خرما
1418334,2o9rpz,,خشکبار ,خرما زاهدی 500 گرم," ± 50 گرم
 ",رمضان,خرما,انواع خرمای زاهدی
1418338,2o9rpz,,خشکبار ,خرما زاهدی درشت 500 گرم," ± 50 گرم
 ",رمضان,خرما,انواع خرمای زاهدی
1418348,2o9rpz,,خشکبار ,خرما پیارم 500 گرم,"± 50 گرم
  ",رمضان,خرما,انواع خرمای پیارم
454714,2p3893,,خشکبار,خرما زاهدی 250 گرم,,رمضان,خرما,انواع خرمای زاهدی
454936,2p3893,,خشکبار,خرما شکلاتی 250 گرم,,رمضان,خرما,انواع خرمای مغزدار/روکش‌دار با ماهیت خرما
454358,2p3893,,خشکبار,خرما پیارم 250 گرم,,رمضان,خرما,انواع خرمای پیارم
457131,2p3893,,خشکبار,چیپس خرما 250 گرم,,رمضان,خرما,انواع خرمای خشک/چیپس خرما
1064682,2p6wzk,,خرما,خرما زاهدی یک کیلوگرم,± 50 گرم,رمضان,خرما,انواع خرمای زاهدی
1186995,2p6xy7,,گز و سوهان,حلوا کنجدی خبوشان (65 تا 75 گرم),حلوا کنجدی خبوشان ترکیب گز و کنجد ,رمضان,حلوا,انواع حلوا (کنجدی)
1040485,2p6xy7,,خشکبار,خرما خشک امسالی ۲۰۰ گرم,± 50 گرم,رمضان,خرما,انواع خرمای خشک
577178,2r4km2,,خشکبار,خرما خشک 250گرم, خشک,رمضان,خرما,انواع خرمای خشک
626692,2nkp6l,,شیره و ارده و کره آجیل,حلوا ارده یزد بزرگ, ,UNKNOWN,UNKNOWN,"Halva Ardeh is a sesame-based breakfast spread, not the ritual/dessert Halva described in the taxonomy for Iftar."
626691,2nkp6l,,شیره و ارده و کره آجیل,حلوا ارده یزد کوچک, ,UNKNOWN,UNKNOWN,"Halva Ardeh is a sesame-based breakfast spread, not the ritual/dessert Halva described in the taxonomy for Iftar."
632976,2nkp6l,,شیرینی جات,حلوا زنجبیلی بزرگ ساده ۱.۲۰۰ کیلوگرم,۱.۲۰۰ کیلوگرم,رمضان,حلوا,Ginger Halva fits the description of a dessert/ritual Halva.
632865,2nkp6l,,شیرینی جات,حلوا زنجبیلی ساده 500 گرم,500 گرم,رمضان,حلوا,Ginger Halva fits the description of a dessert/ritual Halva.
632985,2nkp6l,,شیرینی جات,حلوا پسته ارومیه 500 گرم,۵۰۰ گرم,رمضان,حلوا,Pistachio Halva is a dessert Halva often used for ceremonies or Iftar.
632791,2nkp6l,,شیرینی جات,حلوا گردویی ارومیه, ,رمضان,حلوا,Walnut Halva is a dessert Halva often used for ceremonies or Iftar.
709926,2nkp6l,,سوغات,حلوا گردویی تبریز,,رمضان,حلوا,Walnut Halva is a dessert Halva often used for ceremonies or Iftar.
